number	settlement_type	Russian_name	Selsoviet	raion	collection_date	native_speaker	coordinate	lang	dial	comment
26.	д.	Дмитриевка	Старокалкашевского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°26′28″, 55°27′02″	x		
61.	с.	Дубенки	Дубенского-с/с	Дубенского р-на., Мордовия.	2002	NA	54°26′14″, 46°18′04″	E		
24.	с.	Дубровка	Дубровского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°05′23″, 47°01′37″	x		
27.	п.	Дубровка	Каменского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°33′28″, 54°00′43″	x		
29.	с.	Дубровка	Нижнедубровского-с/с	Камешкирского р-на., Пензенская обл.	2002	NA	52°51′00″, 46°05′00″	x		
28.	с.	Дубровка-на-Узе	Мачкасского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	52°46′00″, 45°31′00″	x		
63.	д.	Дудниково	Теньгушевского-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°48′00″, 42°41′00″	E		
65.	с.	Дюрки	Дюркинского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°38′00″, 46°22′00″	E		
30.	с.	Ега	Пичилейского-с/с	Сосновоборского р-на., Пензенская обл.	2002	NA	53°17′00″, 46°15′00″	x		
25.	с.	Еделево	Еделевского-с/с	Кузоватовского р-на., Ульяновская обл.	2002	NA	53°24′17″, 47°44′45″	x		
66.	с.	Ежовка	Ежовского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°05′03″, 43°42′39″	M		
28.	х.	Екатериновка	Федоровского-с/с	Федоровского р-на., Башкортостан.	2002	NA	53°10′43″, 55°11′09″	x		
29.	с.	Енгалышево	Енгалышевского-с/с	Чишминского р-на., Башкортостан.	2002	NA	54°30′30″, 55°46′21″	x		
26.	с.	Еремкино	Большеборлинского-с/с	Тереньгульского р-на., Ульяновская обл.	2002	NA	53°34′00″, 48°10′00″	x		
67.	с.	Жабино	Урусовского-с/с	Ардатовского р-на., Мордовия.	2002	NA	55°02′55″, 46°12′53″	E		
27.	с.	Ждамеркино	Ждамеркинского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	54°13′00″, 46°26′00″	x		
28.	с.	Живайкино	Живайкинского-с/с	Барышского р-на., Ульяновская обл.	2002	NA	53°28′49″, 47°07′43″	x		
29.	д.	Жмакино	Годяйкинского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	54°13′00″, 46°26′00″	x		
68.	с.	Жуковка	Старобадиковского-с/с	Зубово-Полянского р-на., Мордовия.	2002	NA	54°03′00″, 42°53′00″	M		MissingCoord
32.	п.	Захаровка	Пичилейского-с/с	Сосновоборского р-на., Пензенская обл.	2002	NA	53°17′00″, 46°15′00″	x		
